timestamp,user_id,username,action
2025-05-20T13:00:00,user_1,Alice Johnson,edit
2025-05-20T13:01:00,user_1,Alice Johnson,logout
2025-05-20T13:02:00,user_2,Bob Smith,delete
2025-05-20T13:03:00,user_1,Alice Johnson,logout
2025-05-20T13:04:00,user_2,Bob Smith,logout
2025-05-20T13:05:00,user_3,Carol Williams,login
2025-05-20T13:06:00,user_1,Alice Johnson,view
2025-05-20T13:07:00,user_3,Carol Williams,login
2025-05-20T13:08:00,user_1,Alice Johnson,view
2025-05-20T13:09:00,user_5,Eva Martinez,logout
2025-05-20T13:10:00,user_5,Eva Martinez,edit
2025-05-20T13:11:00,user_1,Alice Johnson,delete
2025-05-20T13:12:00,user_2,Bob Smith,logout
2025-05-20T13:13:00,user_5,Eva Martinez,login
2025-05-20T13:14:00,user_4,David Brown,logout
2025-05-20T13:15:00,user_1,Alice Johnson,login
2025-05-20T13:16:00,user_1,Alice Johnson,logout
2025-05-20T13:17:00,user_2,Bob Smith,delete
2025-05-20T13:18:00,user_2,Bob Smith,delete
2025-05-20T13:19:00,user_2,Bob Smith,login
2025-05-20T13:20:00,user_4,David Brown,edit
2025-05-20T13:21:00,user_1,Alice Johnson,login
2025-05-20T13:22:00,user_3,Carol Williams,login
2025-05-20T13:23:00,user_4,David Brown,view
2025-05-20T13:24:00,user_2,Bob Smith,view
2025-05-20T13:25:00,user_4,David Brown,delete
2025-05-20T13:26:00,user_5,Eva Martinez,edit
2025-05-20T13:27:00,user_4,David Brown,logout
2025-05-20T13:28:00,user_3,Carol Williams,edit
2025-05-20T13:29:00,user_4,David Brown,view
2025-05-20T13:30:00,user_3,Carol Williams,delete
2025-05-20T13:30:00,user_5,Eva Martinez,login
2025-05-20T13:30:20,user_5,Eva Martinez,login
2025-05-20T13:30:40,user_5,Eva Martinez,login
2025-05-20T13:31:00,user_1,Alice Johnson,login
2025-05-20T13:31:00,user_5,Eva Martinez,login
2025-05-20T13:31:20,user_5,Eva Martinez,login
2025-05-20T13:31:40,user_5,Eva Martinez,login
2025-05-20T13:32:00,user_2,Bob Smith,logout
2025-05-20T13:32:00,user_5,Eva Martinez,login
2025-05-20T13:32:20,user_5,Eva Martinez,login
2025-05-20T13:32:40,user_5,Eva Martinez,login
2025-05-20T13:33:00,user_4,David Brown,logout
2025-05-20T13:33:00,user_5,Eva Martinez,login
2025-05-20T13:33:20,user_5,Eva Martinez,login
2025-05-20T13:33:40,user_5,Eva Martinez,login
2025-05-20T13:34:00,user_2,Bob Smith,logout
2025-05-20T13:35:00,user_2,Bob Smith,login
2025-05-20T13:36:00,user_3,Carol Williams,logout
2025-05-20T13:37:00,user_4,David Brown,logout
2025-05-20T13:38:00,user_2,Bob Smith,delete
2025-05-20T13:39:00,user_2,Bob Smith,login
2025-05-20T13:40:00,user_1,Alice Johnson,view
2025-05-20T13:41:00,user_5,Eva Martinez,login
2025-05-20T13:42:00,user_5,Eva Martinez,edit
2025-05-20T13:43:00,user_3,Carol Williams,delete
2025-05-20T13:44:00,user_4,David Brown,view
2025-05-20T13:45:00,user_4,David Brown,login
2025-05-20T13:46:00,user_2,Bob Smith,logout
2025-05-20T13:47:00,user_4,David Brown,logout
2025-05-20T13:48:00,user_5,Eva Martinez,view
2025-05-20T13:49:00,user_1,Alice Johnson,login
2025-05-20T13:50:00,user_2,Bob Smith,delete
2025-05-20T13:51:00,user_2,Bob Smith,delete
2025-05-20T13:52:00,user_3,Carol Williams,login
2025-05-20T13:53:00,user_5,Eva Martinez,login
2025-05-20T13:54:00,user_3,Carol Williams,delete
2025-05-20T13:55:00,user_4,David Brown,delete
2025-05-20T13:56:00,user_2,Bob Smith,delete
2025-05-20T13:57:00,user_1,Alice Johnson,delete
2025-05-20T13:58:00,user_5,Eva Martinez,logout
2025-05-20T13:59:00,user_4,David Brown,delete
2025-05-20T14:00:00,user_4,David Brown,delete
2025-05-20T14:01:00,user_4,David Brown,view
2025-05-20T14:02:00,user_5,Eva Martinez,delete
2025-05-20T14:03:00,user_2,Bob Smith,delete
2025-05-20T14:04:00,user_1,Alice Johnson,view
2025-05-20T14:05:00,user_4,David Brown,login
2025-05-20T14:06:00,user_2,Bob Smith,login
2025-05-20T14:07:00,user_1,Alice Johnson,delete
2025-05-20T14:08:00,user_5,Eva Martinez,view
2025-05-20T14:09:00,user_1,Alice Johnson,edit
2025-05-20T14:10:00,user_3,Carol Williams,view
2025-05-20T14:11:00,user_4,David Brown,edit
2025-05-20T14:12:00,user_1,Alice Johnson,login
2025-05-20T14:13:00,user_4,David Brown,view
2025-05-20T14:14:00,user_2,Bob Smith,logout
2025-05-20T14:15:00,user_5,Eva Martinez,delete
2025-05-20T14:16:00,user_5,Eva Martinez,delete
2025-05-20T14:17:00,user_2,Bob Smith,login
2025-05-20T14:18:00,user_2,Bob Smith,delete
2025-05-20T14:19:00,user_1,Alice Johnson,delete
2025-05-20T14:20:00,user_1,Alice Johnson,logout
2025-05-20T14:21:00,user_2,Bob Smith,login
2025-05-20T14:22:00,user_3,Carol Williams,login
2025-05-20T14:23:00,user_1,Alice Johnson,delete
2025-05-20T14:24:00,user_1,Alice Johnson,delete
2025-05-20T14:25:00,user_1,Alice Johnson,edit
2025-05-20T14:26:00,user_3,Carol Williams,login
2025-05-20T14:27:00,user_4,David Brown,view
2025-05-20T14:28:00,user_5,Eva Martinez,view
2025-05-20T14:29:00,user_4,David Brown,delete
2025-05-20T14:30:00,user_1,Alice Johnson,logout
2025-05-20T14:31:00,user_4,David Brown,edit
2025-05-20T14:32:00,user_2,Bob Smith,logout
2025-05-20T14:33:00,user_4,David Brown,login
2025-05-20T14:34:00,user_1,Alice Johnson,logout
2025-05-20T14:35:00,user_4,David Brown,delete
2025-05-20T14:36:00,user_4,David Brown,view
2025-05-20T14:37:00,user_2,Bob Smith,edit
2025-05-20T14:38:00,user_4,David Brown,view
2025-05-20T14:39:00,user_3,Carol Williams,delete
